index,prob_avgs,entropy_percent,prob_distance,flag
15,0.922873356,1.030569946,0.999850335,0
16,0.927409909,1.041934657,0.999994165,0
17,0.93144103,0.985659377,0.999959708,0
18,0.935037309,1.037829515,0.999582209,0
19,0.938168848,1.022405646,0.995742135,0
20,0.941098759,1.001221416,0.99947531,0
21,0.943678309,1.044826582,0.997338449,0
22,0.946123222,1.010460165,0.99988701,0
23,0.948367979,0.992587622,0.99999499,0
24,0.950429578,0.987147427,0.999849681,0
25,0.952274871,1.012154819,0.997730611,0
26,0.954042424,1.01212369,0.999998383,0
27,0.955682672,1.02339836,0.99995883,0
28,0.957167805,1.032290893,0.998353647,0
29,0.958570467,1.014789824,0.998782277,0
30,0.959755785,0.995846838,0.994442473,0
31,0.961009888,1.018708772,0.999839535,0
32,0.962186556,1.019730678,0.999740755,0
33,0.963289046,1.006128404,0.999447828,0
34,0.964337903,0.999590254,0.999998161,0
35,0.965327689,1.004203622,0.999942228,0
36,0.965994882,1.008363565,0.988273692,0
37,0.966400812,1.018752146,0.972094736,0
38,0.967257838,1.013291515,0.999750566,0
39,0.967980212,1.010862033,0.992724651,0
40,0.96869881,1.038123929,0.996237764,0
41,0.969378795,1.018220188,0.995449665,0
42,0.970083201,1.005627369,0.999555912,0
4,0.671245891,1.160964047,0.999273809,0
5,0.725579992,0.9697239,0.996416008,0
6,0.76478159,0.99302602,0.999984483,0
7,0.793907207,1.118104807,0.996059904,0
8,0.816471593,1.090192223,0.995031741,0
9,0.834793845,0.998696574,0.999456303,0
10,0.849711166,1.003758658,0.997819471,0
11,0.862201187,0.984101578,0.999374908,0
12,0.87221851,1.068589766,0.988586423,0
13,0.880923418,0.989290574,0.990771416,0
14,0.885689658,1.083932746,0.944492664,0
15,0.892830314,1.030569946,0.999900094,0
16,0.899134175,1.041934657,0.999995115,0
17,0.904734143,0.985659377,0.999891942,0
18,0.909725106,1.037829515,0.999252326,0
19,0.914144115,1.022405646,0.996350919,0
20,0.918221044,1.001221416,0.999672125,0
21,0.921853015,1.044826582,0.997637241,0
22,0.925246911,1.010460165,0.999876427,0
23,0.928361584,0.992587622,0.999998234,0
24,0.931218892,0.987147427,0.999654492,0
25,0.933833149,1.012154819,0.998818533,0
26,0.936283711,1.01212369,0.999997819,0
27,0.938558816,1.02339836,0.999982047,0
28,0.940510843,1.032290893,0.992415728,0
29,0.942461204,1.014789824,0.998323169,0
30,0.943768429,0.995846838,0.978214613,0
31,0.945523565,1.018708772,0.999913842,0
32,0.947169749,1.019730678,0.999733532,0
33,0.948711773,1.006128404,0.999324876,0
34,0.950177117,0.999590254,0.999997976,0
35,0.951560357,1.004203622,0.999949091,0
36,0.95265568,1.008363565,0.990664064,0
37,0.953649125,1.018752146,0.985891188,0
38,0.954834604,1.013291515,0.999832961,0
39,0.955938181,1.010862033,0.998121903,0
40,0.956959503,1.038123929,0.996478129,0
41,0.957956252,1.018220188,0.998091132,0
42,0.958924484,1.005627369,0.999455789,0
4,0.761741978,1.160964047,0.999280425,0
5,0.801142717,0.9697239,0.997590026,0
6,0.829549061,0.99302602,0.999976916,0
7,0.850608621,1.118104807,0.996501437,0
8,0.867152297,1.090192223,0.999181764,0
9,0.880283025,0.998696574,0.997049403,0
10,0.891057115,1.003758658,0.997646671,0
11,0.900094154,0.984101578,0.999166291,0
12,0.907328741,1.068589766,0.991028698,0
13,0.913487351,0.989290574,0.990647444,0
14,0.914499273,1.083932746,0.912935315,0
15,0.919838591,1.030569946,0.999874865,0
16,0.92455368,1.041934657,0.999994379,0
17,0.928742261,0.985659377,0.999919512,0
18,0.932472629,1.037829515,0.99928911,0
19,0.935773011,1.022405646,0.99709192,0
20,0.938816379,1.001221416,0.999520298,0
21,0.941492494,1.044826582,0.997257798,0
22,0.944030893,1.010460165,0.999839473,0
23,0.946362849,0.992587622,0.999996462,0
24,0.948502642,0.987147427,0.999753757,0
25,0.950454793,1.012154819,0.998933677,0
26,0.95228973,1.01212369,0.999997552,0
27,0.95399214,1.02339836,0.999941758,0
28,0.955449825,1.032290893,0.994152724,0
29,0.956904297,1.014789824,0.998477108,0
30,0.957923819,0.995846838,0.986493939,0
31,0.959236532,1.018708772,0.999909509,0
32,0.960468237,1.019730678,0.999812509,0
33,0.961613984,1.006128404,0.998999803,0
34,0.962710707,0.999590254,0.99999885,0
35,0.963745226,1.004203622,0.999907991,0
36,0.964514633,1.008363565,0.990612914,0
37,0.965212104,1.018752146,0.986094906,0
38,0.966101766,1.013291515,0.999870095,0
39,0.966909202,1.010862033,0.99701097,0
40,0.967680179,1.038123929,0.997810119,0
41,0.968408303,1.018220188,0.997146073,0
42,0.969137284,1.005627369,0.999680815,0
4,0.780325224,1.281285397,0.999923244,0
5,0.816935362,0.998110095,0.999975269,0
6,0.843073233,1.165579527,0.99981158,0
7,0.862677828,1.118104807,0.999825186,0
8,0.877916787,1.001303334,0.999746263,0
9,0.89012164,0.977301987,0.999950104,0
10,0.900108555,1.014419008,0.999965489,0
11,0.908430865,1.083413018,0.999959706,0
12,0.912882631,1.068589766,0.936197709,0
13,0.918138794,1.057779277,0.983865997,0
14,0.922248932,1.072293318,0.960687984,0
15,0.927108046,1.010405907,0.999991567,0
16,0.931288457,0.983699963,0.996626692,0
17,0.935103546,0.994442691,0.999951732,0
18,0.938505449,1.042266229,0.99962737,0
19,0.941562981,1.052958242,0.999530771,0
20,0.944329762,1.000929476,0.999556507,0
21,0.946860027,1.028476615,0.999994417,0
22,0.949170429,1.005030312,0.999998984,0
23,0.951007347,1.02544972,0.991100618,0
