index,prob_avgs,entropy_percent,prob_distance,flag
16,0.947755433,1.003536629,0.997016296,0
4,0.763375987,1.160964047,0.999069307,0
5,0.802204859,1.161172354,0.995016911,0
6,0.829979591,1.144206566,0.995442679,0
7,0.851223142,1.07681312,0.999880422,0
8,0.867630873,1.060286966,0.998285953,0
9,0.880864102,1.065782878,0.999944822,0
10,0.891670661,1.018748864,0.99968235,0
11,0.900681064,1.038056106,0.999654587,0
12,0.908211383,1.0224187,0.997476838,0
13,0.91475417,1.020658859,0.999725595,0
14,0.920247976,1.028203916,0.995324446,0
15,0.925205682,1.025594253,0.999458065,0
16,0.929502572,1.003536629,0.996786763,0
4,0.773031047,1.160964047,0.998501779,0
5,0.809784911,1.161172354,0.99246989,0
6,0.836636102,1.144206566,0.997260045,0
7,0.856898853,1.07681312,0.99808724,0
8,0.87237739,1.060286966,0.995391383,0
9,0.885135372,1.065782878,0.999947309,0
10,0.895347201,1.018748864,0.997065013,0
11,0.904029286,1.038056106,0.999397801,0
12,0.911270216,1.0224187,0.99782653,0
13,0.917514959,1.020658859,0.998513046,0
14,0.921875927,1.028203916,0.970361362,0
15,0.926597443,1.025594253,0.996759944,0
16,0.930499425,1.003536629,0.990526912,0
4,0.580527604,1.160964047,0.998949094,0
5,0.64822941,1.161172354,0.983037945,0
6,0.698159533,1.144206566,0.997148237,0
7,0.735878818,1.07681312,0.999855065,0
8,0.765147282,1.060286966,0.998994502,0
9,0.788630015,1.065782878,0.999964942,0
10,0.807813346,1.018748864,0.999594427,0
11,0.823820318,1.038056106,0.999831467,0
12,0.837286289,1.0224187,0.997974172,0
13,0.848898862,1.020658859,0.99983231,0
14,0.858918782,1.028203916,0.998924085,0
15,0.86763864,1.025594253,0.99806286,0
16,0.874230332,1.003536629,0.966973358,0
4,0.667962688,1.160964047,0.99734271,0
5,0.722101455,1.161172354,0.989042874,0
6,0.760761376,1.144206566,0.990060241,0
7,0.790662285,1.07681312,0.999952712,0
8,0.813839227,1.060286966,0.999024375,0
9,0.832450965,1.065782878,0.999932308,0
10,0.847403079,1.018748864,0.995642217,0
11,0.86011335,1.038056106,0.999904885,0
12,0.87081919,1.0224187,0.998897357,0
13,0.880019441,1.020658859,0.999498372,0
14,0.887875638,1.028203916,0.99683131,0
15,0.894757157,1.025594253,0.99749283,0
16,0.900850456,1.003536629,0.997909828,0
4,0.775022784,1.160964047,0.994637652,0
5,0.812091532,1.161172354,0.996887899,0
6,0.838612422,1.144206566,0.99689632,0
7,0.85878426,1.07681312,0.999982227,0
8,0.874392504,1.060286966,0.99896722,0
9,0.88695149,1.065782878,0.999976165,0
10,0.897171911,1.018748864,0.999149274,0
11,0.905706769,1.038056106,0.99948795,0
12,0.912854957,1.0224187,0.998021834,0
13,0.919059231,1.020658859,0.999649268,0
14,0.92435093,1.028203916,0.997370293,0
15,0.929029291,1.025594253,0.999022452,0
16,0.932791728,1.003536629,0.989879259,0
4,0.829719442,1.118324629,0.999794418,0
5,0.856729632,0.989907329,0.988838286,0
6,0.877194579,1.057235309,0.999981451,0
7,0.892514136,1.049899717,0.999597484,0
8,0.904272871,1.062964497,0.997605512,0
9,0.91347169,1.06881644,0.994537082,0
10,0.921336079,1.012424646,0.999965687,0
11,0.927860421,1.027216442,0.9992656,0
12,0.932745078,1.006634602,0.986734043,0
13,0.937436715,1.016250605,0.997221839,0
14,0.941603349,1.000876027,0.999909743,0
